AGI,Name
AT1G01060,LHY
AT1G04400,CRY2
AT1G09340,CRB
AT1G09530,PIF3
AT1G09570,PHYA
AT1G10470,ARR4
AT1G12910,ATAN11
AT1G15950,CCR1
AT1G17070,STIPL1
AT1G17455,ELF4-L4
AT1G18330,RVE7
AT1G22770,GI
AT1G27450,APT1
AT1G31500,HESP
AT1G56650,PAP1
AT1G59940,ARR3
AT1G65480,FT
AT1G68050,FKF1
AT1G68830,STN7
AT1G68850,AT1G68850
AT1G69690,TCP15
AT1G72630,ELF4-L2
AT1G76320,FRS4
AT1G77180,SKIP
AT1G80820,CCR2
AT2G06255,ELF4-L3
AT2G16365,PCH1
AT2G17840,ERD7
AT2G18170,MPK7
AT2G18790,PHYB
AT2G18915,LKP2
AT2G21070,FIO1
AT2G21150,XCT
AT2G21660,GRP7
AT2G23070,AT2G23070
AT2G23080,CKA3
AT2G25930,ELF3
AT2G29950,ELF4-L1
AT2G31870,TEJ
AT2G32250,FRS2
AT2G32950,COP1
AT2G35970,AT2G35970
AT2G37000,AT2G37000
AT2G37130,AT2G37130
AT2G40080,ELF4
AT2G41310,RR3
AT2G42540,COR15A
AT2G43010,PIF4
AT2G43280,FRF4
AT2G44680,CKB4
AT2G46340,SPA1
AT2G46790,PRR9
AT2G46830,CCA1
AT3G01060,AT3G01060
AT3G04910,WNK1
AT3G06080,TBL10
AT3G06500,A/N-InvC
AT3G07500,FRF2
AT3G07650,COL9
AT3G09600,RVE8
AT3G11540,SPY
AT3G12320,LNK3
AT3G14620,CYP72A8
AT3G19720,ARC5
AT3G20810,JMJD5
AT3G21890,BBX31
AT3G22170,FHY3
AT3G22231,PCC1
AT3G22380,TIC
AT3G24050,GATA1
AT3G26640,LWD2
AT3G45780,PHOT1
AT3G46640,LUX
AT3G46780,PTAC16
AT3G48100,RR5
AT3G48360,BT2
AT3G50000,CKA2
AT3G52180,SEX4
AT3G54500,LNK2
AT3G54810,BME3
AT3G55960,AT3G55960
AT3G56480,AT3G56480
AT3G57040,ARR9
AT3G58850,PAR2
AT3G59060,PIF5
AT3G59470,FRF1
AT3G60250,CKB3
AT3G61070,PEX11E
AT4G00150,HAM3
AT4G02570,CUL1
AT4G02630,AT4G02630
AT4G03390,SRF3
AT4G04920,SFR6
AT4G04970,GSL1
AT4G08920,CRY1
AT4G09970,AT4G09970
AT4G10180,DET1
AT4G12850,FRF3
AT4G13930,SHM4
AT4G15090,FAR1
AT4G15248,BBX30
AT4G17640,CKB2
AT4G18020,APRR2
AT4G18290,KAT2
AT4G19990,FRS1
AT4G20370,TSF
AT4G21960,PRXR1
AT4G24470,ZIM
AT4G25100,FSD1
AT4G25470,CBF2/DREB1C
AT4G25480,CBF3/DREB1A
AT4G25490,CBF1/DREB1B
AT4G26150,CGA1
AT4G26700,FIM1
AT4G28610,PHR1
AT4G30200,VEL1
AT4G30350,SMXL2
AT4G31120,SKB1
AT4G32890,GATA9
AT4G34680,GATA3
AT4G36240,GATA7
AT4G36930,SPT
AT4G37520,AT4G37520
AT4G37930,SHM1
AT4G38960,BBX19
AT5G02120,OHP
AT5G02810,PRR7
AT5G02840,RVE4
AT5G05660,NFXL2
AT5G08330,TCP11
AT5G10140,FLC
AT5G11260,HY5
AT5G12050,AT5G12050
AT5G13930,TT4
AT5G15840,CO
AT5G15850,COL1
AT5G17300,RVE1
AT5G23730,RUP2
AT5G24470,PRR5
AT5G25830,GATA12
AT5G37260,RVE2
AT5G47080,CKB1
AT5G48890,LATE
AT5G51810,GA20OX2
AT5G51990,CBF4/DREB1D
AT5G52250,RUP1
AT5G52310,LTI78
AT5G52660,RVE6
AT5G52910,ATIM
AT5G56860,GNC
AT5G57360,ZTL
AT5G58140,PHOT2
AT5G59560,SRR1
AT5G59570,BOA
AT5G60100,PRR3
AT5G61380,TOC1
AT5G62430,CDF1
AT5G63860,UVR8
AT5G64120,PRX71
AT5G64170,LNK1
AT5G64813,LIP1
AT5G67380,CKA1
